_id,Anno_evento,Luogo_matrimonio,Rito,Residenza_marito,Residenza_moglie,Stato_civile_marito,Stato_civile_moglie,Cittadinanza_marito,Cittadinanza_moglie,Eta_marito,Eta_moglie,Numerosità
1,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,31,23,1
2,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,31,24,1
3,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,31,29,5
4,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,31,30,1
5,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,31,31,6
6,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,31,32,4
7,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,32,23,1
8,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,32,28,3
9,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,32,30,2
10,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,32,31,2
11,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,32,33,3
12,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,32,34,2
13,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,32,36,1
14,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,33,24,1
15,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,33,26,2
16,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,33,28,1
17,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,33,31,1
18,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,33,32,2
19,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,33,35,1
20,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,34,26,1
21,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,34,28,1
22,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,34,29,1
23,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,34,31,1
24,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,34,32,2
25,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,34,35,1
26,2003,Milano,Cattolico,Milano,Italia,Celibe,Nubile,Italia,Italia,35,25,2
